state,abbr,pop2010,ev10,ev00,ev90
Alabama,AL,4802982,9,9,9
Alaska,AK,721523,3,3,3
Arizona,AZ,6412700,11,10,8
Arkansas,AR,2926229,6,6,6
California,CA,37341989,55,55,54
Colorado,CO,5044930,9,9,8
Connecticut,CT,3581628,7,7,8
Delaware,DE,900877,3,3,3
District of Columbia,DC,604453,3,3,3
Florida,FL,18900773,29,27,25
Georgia,GA,9727566,16,15,13
Hawaii,HI,1366862,4,4,4
Idaho,ID,1573499,4,4,4
Illinois,IL,12864380,20,21,22
Indiana,IN,6501582,11,11,12
Iowa,IA,3053787,6,7,7
Kansas,KS,2863813,6,6,6
Kentucky,KY,4350606,8,8,8
Louisiana,LA,4553962,8,9,9
Maine,ME,1333074,4,4,4
Maryland,MD,5789929,10,10,10
Massachusetts,MA,6559644,11,12,12
Michigan,MI,9911626,16,17,18
Minnesota,MN,5314879,10,10,10
Mississippi,MS,2978240,6,6,7
Missouri,MO,6011478,10,11,11
Montana,MT,994416,3,3,3
Nebraska,NE,1831825,5,5,5
Nevada,NV,2709432,6,5,4
New Hampshire,NH,1321445,4,4,4
New Jersey,NJ,8807501,14,15,15
New Mexico,NM,2067273,5,5,5
New York,NY,19421055,29,31,33
North Carolina,NC,9565781,15,15,14
North Dakota,ND,675905,3,3,3
Ohio,OH,11568495,18,20,21
Oklahoma,OK,3764882,7,7,8
Oregon,OR,3848606,7,7,7
Pennsylvania,PA,12734905,20,21,23
Rhode Island,RI,1055247,4,4,4
South Carolina,SC,4645975,9,8,8
South Dakota,SD,819761,3,3,3
Tennessee,TN,6375431,11,11,11
Texas,TX,25268418,38,34,32
Utah,UT,2770765,6,5,5
Vermont,VT,630337,3,3,3
Virginia,VA,8037736,13,13,13
Washington,WA,6753369,12,11,11
West Virginia,WV,1859815,5,5,5
Wisconsin,WI,5698230,10,10,11
Wyoming,WY,568300,3,3,3
